id,type,name,nameResale,nameAI,description,latitude,longitude,annualRevenueIncreasePct,createdAt,updatedAt,parentId,picture,isFavorite
27,area,Zona Fuentemora,,Pinos de Alhaurín,,37.01981830,-4.57525160,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,22,,f
28,area,Casco Histórico,,Pinos de Alhaurín,,37.01617870,-4.55805280,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,22,,f
29,municipality,Arriate,Arriate,Pinos de Alhaurín,,36.79700850,-5.13864610,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,2,,f
30,municipality,Benadalid,Benadalid,Pinos de Alhaurín,,36.60614400,-5.26877020,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,2,,f
31,municipality,Benahavís,"La Quinta,Monte Halcones",Benahavís,,36.51238100,-4.99477310,6.59,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,2,,f
32,area,La Quinta,"La Quinta,Monte Halcones",Benahavís,,36.51238100,-4.99477310,6.59,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,31,,f
33,area,Benahavís,Benahavís,Benahavís,,36.52048910,-5.04555750,6.59,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,31,,f
34,area,Los Flamingos,Los Flamingos,Benahavís,,36.47947070,-5.04908410,6.59,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,31,,f
35,area,Los Arqueros-Puerto del Almendro,Los Arqueros,Benahavís,,36.51361690,-5.01527310,6.59,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,31,,f
37,area,Montemayor-Marbella Club,,Benahavís,,36.49454000,-5.06980140,6.59,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,31,,f
40,area,La Heredia,La Heredia,Benahavís,,36.52097610,-5.00568330,6.59,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,31,,f
43,area,Torrequebrada,Torrequebrada,Benalmádena,,36.58136190,-4.54982900,5.77,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,42,,f
44,neighbourhood,Cortijo Torrequebrada,,Benalmádena,,36.58772190,-4.53301590,5.77,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,43,,f
45,neighbourhood,Zona Centro Comercial Torrequebrada,,Benalmádena,,36.58416080,-4.55470030,5.77,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,43,,f
46,neighbourhood,Hacienda Torrequebrada,,Benalmádena,,36.58136190,-4.54982900,5.77,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,43,,f
47,neighbourhood,Nueva Torrequebrada,,Benalmádena,,36.58416080,-4.55470030,5.77,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,43,,f
48,area,Arroyo de la Miel,Arroyo de la Miel,Benalmádena,,36.59996610,-4.53949700,5.77,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,42,,f
50,area,Solymar - Puerto Marina,,Benalmádena,,36.59934650,-4.51777700,5.77,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,42,,f
51,neighbourhood,Solymar - Puerto Marina,,Benalmádena,,36.59934650,-4.51777700,5.77,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,50,,f
52,area,Parque de la Paloma,,Benalmádena,,36.59253500,-4.52720400,5.77,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,42,,f
54,neighbourhood,Los Nadales - Tio Charles,,Benalmádena,,36.58947660,-4.57439430,5.77,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,53,,f
55,neighbourhood,Centro,,Benalmádena,,36.59647430,-4.51976880,5.77,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,53,,f
56,neighbourhood,Rancho Domingo - La Hacienda,,Benalmádena,,36.59500740,-4.56337280,5.77,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,53,,f
2,province,Málaga,Málaga,Alhaurín de la Torre,,36.66034180,-4.55856720,2.1,2025-05-29 17:15:49.118854,2025-06-02 11:35:57.120583,1,"",f
36,area,El Paraíso,"El Paraiso,Benamara",El Paraíso,,36.46991170,-5.02994930,6.59,2025-05-29 17:15:49.118854,2025-06-03 10:46:17.010742,31,"",f
42,municipality,Benalmádena,"Benalmádena,Benalmadena Costa,Benalmadena",Benalmádena,,36.58136190,-4.54982900,5.77,2025-05-29 17:15:49.118854,2025-06-04 08:53:58.349035,2,"",f
53,area,Benalmádena Pueblo,"Benalmádena Pueblo,Benalmadena Pueblo",Benalmádena,,36.59865860,-4.57001430,5.77,2025-05-29 17:15:49.118854,2025-06-04 08:54:09.032782,42,"",f
49,area,El Higueron - Capellanía,"La Capellanía,Torremar,La Capellania",Benalmádena,,36.58318010,-4.59139470,5.77,2025-05-29 17:15:49.118854,2025-06-04 08:54:53.290489,42,"",f
57,neighbourhood,Casablanca - La Viñuela,,Benalmádena,,36.58866390,-4.56891740,5.77,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,53,,f
59,area,Torremuelle,Torremuelle,Benalmádena,,36.57981400,-4.57037500,5.77,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,42,,f
60,area,Santangelo,,Benalmádena,,36.61150380,-4.54385770,5.77,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,42,,f
61,municipality,Cártama,Cártama,Cártama,,36.71214300,-4.63187680,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,2,,f
62,area,Estación,Estacion de Cartama,Cártama,,36.73706250,-4.61057630,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,61,,f
63,area,Cártama Pueblo,,Cártama,,36.71214300,-4.63187680,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,61,,f
64,area,Diseminados,,Cártama,,36.71214300,-4.63187680,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,61,,f
65,municipality,Casares,,Casares,,36.39007520,-5.21973790,8.48,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,2,,f
66,area,Casares Golf - Casares del Sol,,Casares,,36.39007520,-5.21973790,8.48,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,65,,f
67,area,Casares,"Casares,Casares Pueblo,Casares Playa",Casares,,36.44392730,-5.27301490,8.48,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,65,,f
68,area,Bahía de Casares,,Casares,,36.38307790,-5.21427110,8.48,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,65,,f
69,neighbourhood,Bahía de Casares,,Casares,,36.38307790,-5.21427110,8.48,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,68,,f
72,area,Marina de Casares,,Casares,,36.37457880,-5.22340510,8.48,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,65,,f
73,neighbourhood,Marina de Casares,,Casares,,36.37457880,-5.22340510,8.48,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,72,,f
74,municipality,Coin,Coín,Pinos de Alhaurín,,36.66224210,-4.75700860,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,2,,f
76,municipality,Estepona,Estepona,Estepona,,36.42563450,-5.15102610,8.21,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,2,,f
77,area,Benamara - Atalaya,New Golden Mile,Estepona,,36.46606610,-5.02856510,8.21,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,76,,f
78,neighbourhood,Paraiso-Barronal,Benavista,Estepona,,36.46991170,-5.02994930,8.21,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,77,,f
79,neighbourhood,Nueva Atalaya,,Estepona,,36.47042440,-5.02049180,8.21,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,77,,f
80,neighbourhood,Villacana - Costalita - Saladillo,Costalita,Estepona,,36.45624770,-5.05011070,8.21,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,77,,f
81,neighbourhood,Cancelada,Cancelada,Estepona,,36.46147840,-5.05401380,8.21,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,77,,f
83,neighbourhood,Casasola,,Estepona,,36.46334310,-5.00962120,8.21,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,77,,f
84,neighbourhood,Benatalaya,Benatalaya,Estepona,,36.49026560,-5.01886750,8.21,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,77,,f
86,area,Estepona Pueblo,,Estepona,,36.41597580,-5.15815780,8.21,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,76,,f
